proceedingId,conferenceName
7b15d17b-0834-4805-8335-45188577065f,International Conference on Electronic Communication and Artificial Intelligence (IWECAI)
f39df0da-f63f-4bbd-acdf-c5ead83299dc,International Conference on Electronic Packaging and iMAPS All Asia Conference
cae2eb51-88c9-4b62-b848-afc06932c8ea,International Conference on Embedded and Multimedia Computing
10fe930b-c6d6-4989-be8f-efe7914c242b,International Conference on Emerging Trends in Information Technology and Engineering (ic ETITE)
049b2c58-b8fe-4e3a-ad15-dec2119c6af6,International Conference on Engineering & MIS
b7c1678d-8772-4479-8401-fba7884784a0,International Conference on Futuristic Trends on Computational Analysis and Knowledge Management
bfb45cbf-0327-46a3-85e1-fbad4e3ac932,International Conference on Green Computing and Internet of Things (ICGCIoT)
5f7cb1a5-9ee5-43f7-b257-a1c414415924,"International Conference on I SMAC (IoT in Social, Mobile, Analytics and Cloud) (I SMAC)"
4594b5f8-9196-43a9-95a4-c52106948f65,International Conference on ICT and Knowledge Engineering
f44e3a2c-01ba-4dfe-8b94-c12960c92c5c,International Conference on ICT and Knowledge Engineering
1717a971-0471-4edd-87f0-0c58c09df751,International Conference on Image Analysis and Signal Processing
5fb0038f-b42b-4f4d-83fd-2b9eb9c10741,"International Conference on Industrial Engineering, Management Science and Application"
2de3214a-802c-40db-8195-51975921e42a,International Conference on Informatics and Computational Sciences (ICICoS)
b6be6e02-4730-4f4a-ae55-5e4129b00206,International Conference on Informatics and Computational Sciences (ICICoS)
3baf52a6-764e-424f-b07a-2c95f214fabd,"International Conference on Informatics, Electronics and Vision"
6858a5f9-2f75-4ebc-b635-a8bd12fbb32e,"International Conference on Informatics, Multimedia, Cyber and Information System (ICIMCIS)"
edae7ffa-cf6e-4630-bae7-568a6e0ff9c7,International Conference on Information Communication and Embedded Systems
24c751cf-4dc5-49e5-91d7-776ed263240c,International Conference on Information Communication and Management
c38a466a-ef9b-4c9b-aae5-507dcd1d611d,International Conference on Information Science and Cloud Computing Companion
766f90a6-5c0f-40e8-b45d-d70abc055b58,International Conference on Information Technology and Applications in Biomedicine
92130091-338f-40aa-8a6b-9ce5426dae69,International Conference on Information and Software Technologies
7ab02ded-0e34-45b4-a418-c698bfa1ec13,International Conference on Information and Software Technologies
6d66c8c9-0f19-422c-8c28-e8af039c83bb,"International Conference on Information, Communication, Engineering and Technology (ICICET)"
eadb771b-45b8-419b-91a5-26623faa5365,International Conference on Innovation and Challenges in Cyber Security (ICICCS INBUSH)
bd56c732-c02e-4d31-8565-588ae83db2a3,"International Conference on Innovations in Information, Embedded and Communication Systems"
842f91be-e315-4cac-8479-2a90cc2effcc,International Conference on Innovative Computing and Cloud Computing
6b9866ea-ccc5-4d55-b3cd-907797ce219a,International Conference on Innovative Data Communication Technologies and Application (ICIDCA)
6e70d09a-d84f-44de-80bd-bdf5ad9ff3d6,International Conference on Innovative Mechanisms for Industry Applications
6ea85288-39eb-4202-81d7-ea21b30cac2c,International Conference on Innovative Practices in Technology and Management (ICIPTM)
bf5ec067-91c3-4a3b-a77a-7b3604d79f9b,International Conference on Innovative Practices in Technology and Management (ICIPTM)
d9148c7c-7df2-4d0a-8000-2cf5c168c0f8,International Conference on Intelligent Computing
f2e9f2eb-5ed7-49f4-810f-4a4bb128ecc0,International Conference on Intelligent Computing and Control (I2C2)
36038614-052e-429c-aa25-0acdc3c11615,International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT)
1eeb80bf-d179-4ba5-9a6d-a27d35094bfd,International Conference on Intelligent Engineering Systems
7d7f91f3-c1d5-493b-aee7-1d9d02c7ec14,International Conference on Intelligent Engineering and Management (ICIEM)
85bb5afb-fad8-4010-8b39-87e94e2d39ea,International Conference on Intelligent Engineering and Management (ICIEM)
9e31f60a-3766-4812-8dd2-7a4051e69ec4,International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS)
c1c6fc6d-d872-4a2d-8fc8-a0a46f13549e,International Conference on Interaction Sciences
49d699e1-9830-4c6b-8b99-701cd1abdcfd,International Conference on Interaction Sciences
cad35718-08e7-4152-a989-eb108a259fba,International Conference on Internet of Things and Intelligent Applications (ITIA)
798897cd-d3eb-4f30-9e27-24c3d93381e6,International Conference on Machine Intelligence and Research Advancement
69ef0fc1-da0c-4169-be47-72624f70cdd7,International Conference on Machine Learning and Computing
141c26ba-7c3d-4667-a5e4-6c44b090e8e3,International Conference on Management Science and Engineering
50843019-acae-4e03-914c-8d18d87c214b,"International Conference on Mechanical, Electronics, Computer, and Industrial Technology (MECnIT)"
999b9645-2536-462a-b6b4-d13e5c36da30,"International Conference on Modern Problems of Radio Engineering, Telecommunications and Computer Science"
d4f96bd2-6232-4061-a0a1-39bda17c7f85,"International Conference on Modern Problems of Radio Engineering, Telecommunications and Computer Science"
bf82f067-17f0-4be9-b20e-724e0f6d065f,International Conference on Network and Information Systems for Computers
c7ed4507-5db3-490b-b822-04e6c1ee3ed5,"International Conference on Neural Information Processing, . ICONIP '02"
9fb18ce0-4977-4e81-b3d2-372a9de99261,International Conference on Next Generation Computing Technologies
ce40952d-0a67-49c9-87d2-e6b85698b12b,International Conference on Pervasive Computing and Applications
cc61a577-a96a-411f-9fc6-0e24cfebc9ef,International Conference on Pervasive Computing and Social Networking (ICPCSN)
6f16be62-57ab-40bc-bcf9-931d4f8ae64e,International Conference on Power Electronics & IoT Applications in Renewable Energy and its Control (PARC)
6235e68c-40e5-4bfb-b07d-0cee50cb9022,"International Conference on Power Energy, Environment & Intelligent Control (PEEIC)"
448ee296-41c4-4099-8db1-55a66c959fb7,"International Conference on Power, Automation and Communication (INPAC)"
